State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Uttar Pradesh,AGRA,1997,Kharif     ,Arhar/Tur,6538,9664
Uttar Pradesh,AGRA,1997,Kharif     ,Bajra,99898,147994
Uttar Pradesh,AGRA,1997,Kharif     ,Groundnut,27,22
Uttar Pradesh,AGRA,1997,Kharif     ,Jowar,725,406
Uttar Pradesh,AGRA,1997,Kharif     ,Maize,138,316
Uttar Pradesh,AGRA,1997,Kharif     ,Moong(Green Gram),97,28
Uttar Pradesh,AGRA,1997,Kharif     ,Moth,15,8
Uttar Pradesh,AGRA,1997,Kharif     ,Oilseeds total,98911,58881
Uttar Pradesh,AGRA,1997,Kharif     ,Onion,110,1088
Uttar Pradesh,AGRA,1997,Kharif     ,Rice,935,2073
Uttar Pradesh,AGRA,1997,Kharif     ,Sesamum,1784,416
Uttar Pradesh,AGRA,1997,Kharif     ,Soyabean,4,4
Uttar Pradesh,AGRA,1997,Kharif     ,Total foodgrain,258075,602076
Uttar Pradesh,AGRA,1997,Kharif     ,Urad,651,345
Uttar Pradesh,AGRA,1997,Rabi       ,Barley,10865,35423
Uttar Pradesh,AGRA,1997,Rabi       ,Gram,11744,11816
Uttar Pradesh,AGRA,1997,Rabi       ,Masoor,834,706
Uttar Pradesh,AGRA,1997,Rabi       ,Peas & beans (Pulses),1210,1936
Uttar Pradesh,AGRA,1997,Rabi       ,Rapeseed &Mustard,96995,58352
Uttar Pradesh,AGRA,1997,Rabi       ,Sunflower,97,84
Uttar Pradesh,AGRA,1997,Rabi       ,Wheat,123600,391030
Uttar Pradesh,AGRA,1997,Summer     ,Maize,33,52
Uttar Pradesh,AGRA,1997,Summer     ,Moong(Green Gram),770,269
Uttar Pradesh,AGRA,1997,Summer     ,Urad,22,10
Uttar Pradesh,AGRA,1997,Whole Year ,Potato,14430,397344
Uttar Pradesh,AGRA,1997,Whole Year ,Sugarcane,587,22381
Uttar Pradesh,AGRA,1998,Kharif     ,Arhar/Tur,5273,11438
Uttar Pradesh,AGRA,1998,Kharif     ,Bajra,98533,146550
Uttar Pradesh,AGRA,1998,Kharif     ,Cotton(lint),238,22
Uttar Pradesh,AGRA,1998,Kharif     ,Groundnut,20,16
Uttar Pradesh,AGRA,1998,Kharif     ,Jowar,1179,431
Uttar Pradesh,AGRA,1998,Kharif     ,Maize,184,152
Uttar Pradesh,AGRA,1998,Kharif     ,Moong(Green Gram),122,27
Uttar Pradesh,AGRA,1998,Kharif     ,Moth,17,7
Uttar Pradesh,AGRA,1998,Kharif     ,Rice,1536,3478
Uttar Pradesh,AGRA,1998,Kharif     ,Sesamum,1955,356
Uttar Pradesh,AGRA,1998,Kharif     ,Soyabean,4,2
Uttar Pradesh,AGRA,1998,Kharif     ,Urad,703,188
Uttar Pradesh,AGRA,1998,Rabi       ,Barley,11435,37664
Uttar Pradesh,AGRA,1998,Rabi       ,Castor seed,2,1
Uttar Pradesh,AGRA,1998,Rabi       ,Gram,13801,19870
Uttar Pradesh,AGRA,1998,Rabi       ,Linseed,7,3
Uttar Pradesh,AGRA,1998,Rabi       ,Masoor,1600,1160
Uttar Pradesh,AGRA,1998,Rabi       ,Peas & beans (Pulses),2083,2850
Uttar Pradesh,AGRA,1998,Rabi       ,Rapeseed &Mustard,77972,94774
Uttar Pradesh,AGRA,1998,Rabi       ,Sunflower,48,60
Uttar Pradesh,AGRA,1998,Rabi       ,Wheat,131032,477808
Uttar Pradesh,AGRA,1998,Summer     ,Maize,16,16
Uttar Pradesh,AGRA,1998,Summer     ,Moong(Green Gram),469,231
Uttar Pradesh,AGRA,1998,Summer     ,Urad,26,13
Uttar Pradesh,AGRA,1998,Whole Year ,Onion,164,1980
Uttar Pradesh,AGRA,1998,Whole Year ,Potato,18971,651919
Uttar Pradesh,AGRA,1998,Whole Year ,Sannhamp,4,1
Uttar Pradesh,AGRA,1998,Whole Year ,Sugarcane,544,29053
Uttar Pradesh,AGRA,1999,Kharif     ,Arhar/Tur,5089,9621
Uttar Pradesh,AGRA,1999,Kharif     ,Bajra,101129,171623
Uttar Pradesh,AGRA,1999,Kharif     ,Castor seed,5,3
Uttar Pradesh,AGRA,1999,Kharif     ,Cotton(lint),151,94
Uttar Pradesh,AGRA,1999,Kharif     ,Groundnut,9,7
Uttar Pradesh,AGRA,1999,Kharif     ,Jowar,1242,979
Uttar Pradesh,AGRA,1999,Kharif     ,Jute,6,5
Uttar Pradesh,AGRA,1999,Kharif     ,Maize,191,272
Uttar Pradesh,AGRA,1999,Kharif     ,Moong(Green Gram),152,43
Uttar Pradesh,AGRA,1999,Kharif     ,Rice,2142,3781
Uttar Pradesh,AGRA,1999,Kharif     ,Soyabean,3,2
Uttar Pradesh,AGRA,1999,Kharif     ,Sunflower,8,7
Uttar Pradesh,AGRA,1999,Kharif     ,Urad,500,208
Uttar Pradesh,AGRA,1999,Rabi       ,Barley,10037,32692
Uttar Pradesh,AGRA,1999,Rabi       ,Gram,9891,12547
Uttar Pradesh,AGRA,1999,Rabi       ,Linseed,6,3
Uttar Pradesh,AGRA,1999,Rabi       ,Maize,28,40
Uttar Pradesh,AGRA,1999,Rabi       ,Rapeseed &Mustard,76355,111507
Uttar Pradesh,AGRA,1999,Rabi       ,Wheat,136395,529651
Uttar Pradesh,AGRA,1999,Summer     ,Moong(Green Gram),239,98
Uttar Pradesh,AGRA,1999,Summer     ,Urad,9,5
Uttar Pradesh,AGRA,1999,Whole Year ,Moth,11,5
Uttar Pradesh,AGRA,1999,Whole Year ,Onion,108,1548
Uttar Pradesh,AGRA,1999,Whole Year ,Peas & beans (Pulses),824,1683
Uttar Pradesh,AGRA,1999,Whole Year ,Potato,23328,697507
Uttar Pradesh,AGRA,1999,Whole Year ,Sugarcane,444,24385
Uttar Pradesh,AGRA,2000,Kharif     ,Arhar/Tur,5067,8166
Uttar Pradesh,AGRA,2000,Kharif     ,Bajra,103220,145099
Uttar Pradesh,AGRA,2000,Kharif     ,Cotton(lint),213,165
Uttar Pradesh,AGRA,2000,Kharif     ,Groundnut,7,6
Uttar Pradesh,AGRA,2000,Kharif     ,Jowar,1242,1018
Uttar Pradesh,AGRA,2000,Kharif     ,Maize,201,400
Uttar Pradesh,AGRA,2000,Kharif     ,Moong(Green Gram),86,26
Uttar Pradesh,AGRA,2000,Kharif     ,Moth,5,2
Uttar Pradesh,AGRA,2000,Kharif     ,Rice,1322,2502
Uttar Pradesh,AGRA,2000,Kharif     ,Sesamum,1682,390
Uttar Pradesh,AGRA,2000,Kharif     ,Soyabean,1,1
Uttar Pradesh,AGRA,2000,Kharif     ,Urad,642,267
Uttar Pradesh,AGRA,2000,Rabi       ,Barley,10826,29789
Uttar Pradesh,AGRA,2000,Rabi       ,Gram,10054,11612
Uttar Pradesh,AGRA,2000,Rabi       ,Linseed,1,1
Uttar Pradesh,AGRA,2000,Rabi       ,Maize,17,28
Uttar Pradesh,AGRA,2000,Rabi       ,Masoor,1420,1153
Uttar Pradesh,AGRA,2000,Rabi       ,Moong(Green Gram),223,60
Uttar Pradesh,AGRA,2000,Rabi       ,Peas & beans (Pulses),937,1787
Uttar Pradesh,AGRA,2000,Rabi       ,Rapeseed &Mustard,76862,110533
Uttar Pradesh,AGRA,2000,Rabi       ,Urad,3,1
Uttar Pradesh,AGRA,2000,Rabi       ,Wheat,137775,420786
Uttar Pradesh,AGRA,2000,Whole Year ,Potato,18662,569023
Uttar Pradesh,AGRA,2000,Whole Year ,Sugarcane,623,27856
Uttar Pradesh,AGRA,2001,Kharif     ,Arhar/Tur,4616,7615
Uttar Pradesh,AGRA,2001,Kharif     ,Bajra,107560,120855
Uttar Pradesh,AGRA,2001,Kharif     ,Cotton(lint),111,94
Uttar Pradesh,AGRA,2001,Kharif     ,Groundnut,6,5
Uttar Pradesh,AGRA,2001,Kharif     ,Jowar,1062,823
Uttar Pradesh,AGRA,2001,Kharif     ,Maize,189,368
Uttar Pradesh,AGRA,2001,Kharif     ,Moong(Green Gram),65,18
Uttar Pradesh,AGRA,2001,Kharif     ,Moth,8,3
Uttar Pradesh,AGRA,2001,Kharif     ,Rice,1318,2476
Uttar Pradesh,AGRA,2001,Kharif     ,Sesamum,1645,477
Uttar Pradesh,AGRA,2001,Kharif     ,Sunflower,10,11
Uttar Pradesh,AGRA,2001,Kharif     ,Urad,506,206
Uttar Pradesh,AGRA,2001,Rabi       ,Barley,10274,30727
Uttar Pradesh,AGRA,2001,Rabi       ,Gram,9968,11703
Uttar Pradesh,AGRA,2001,Rabi       ,Linseed,1,0.1
Uttar Pradesh,AGRA,2001,Rabi       ,Maize,9,15
Uttar Pradesh,AGRA,2001,Rabi       ,Masoor,949,758
Uttar Pradesh,AGRA,2001,Rabi       ,Moong(Green Gram),122,34
Uttar Pradesh,AGRA,2001,Rabi       ,Peas & beans (Pulses),513,912
Uttar Pradesh,AGRA,2001,Rabi       ,Rapeseed &Mustard,79631,105039
Uttar Pradesh,AGRA,2001,Rabi       ,Urad,21,6
Uttar Pradesh,AGRA,2001,Rabi       ,Wheat,133214,407041
Uttar Pradesh,AGRA,2001,Whole Year ,Potato,24047,848426
Uttar Pradesh,AGRA,2001,Whole Year ,Sugarcane,327,17142
Uttar Pradesh,AGRA,2002,Kharif     ,Bajra,97178,154781
Uttar Pradesh,AGRA,2002,Kharif     ,Cotton(lint),212,171
Uttar Pradesh,AGRA,2002,Kharif     ,Jowar,672,667
Uttar Pradesh,AGRA,2002,Kharif     ,Maize,435,513
Uttar Pradesh,AGRA,2002,Kharif     ,Moong(Green Gram),59,17
Uttar Pradesh,AGRA,2002,Kharif     ,Moth,4,2
Uttar Pradesh,AGRA,2002,Kharif     ,Rice,1134,1900
Uttar Pradesh,AGRA,2002,Kharif     ,Sesamum,959,155
Uttar Pradesh,AGRA,2002,Kharif     ,Sunflower,1,1
Uttar Pradesh,AGRA,2002,Kharif     ,Urad,357,143
Uttar Pradesh,AGRA,2002,Rabi       ,Barley,10076,31122
Uttar Pradesh,AGRA,2002,Rabi       ,Gram,7116,7447
Uttar Pradesh,AGRA,2002,Rabi       ,Linseed,6,3
Uttar Pradesh,AGRA,2002,Rabi       ,Maize,4,4
Uttar Pradesh,AGRA,2002,Rabi       ,Masoor,601,586
Uttar Pradesh,AGRA,2002,Rabi       ,Onion,38,392
Uttar Pradesh,AGRA,2002,Rabi       ,Peas & beans (Pulses),383,638
Uttar Pradesh,AGRA,2002,Rabi       ,Rapeseed &Mustard,76315,90695
Uttar Pradesh,AGRA,2002,Rabi       ,Wheat,129806,428284
Uttar Pradesh,AGRA,2002,Summer     ,Moong(Green Gram),74,35
Uttar Pradesh,AGRA,2002,Summer     ,Onion,25,279
Uttar Pradesh,AGRA,2002,Summer     ,Urad,4,2
Uttar Pradesh,AGRA,2002,Whole Year ,Potato,30767,905596
Uttar Pradesh,AGRA,2002,Whole Year ,Sannhamp,1,
Uttar Pradesh,AGRA,2002,Whole Year ,Sugarcane,263,14309
Uttar Pradesh,AGRA,2003,Kharif     ,Arhar/Tur,3170,5461
Uttar Pradesh,AGRA,2003,Kharif     ,Bajra,105629,150139
Uttar Pradesh,AGRA,2003,Kharif     ,Groundnut,1,1
Uttar Pradesh,AGRA,2003,Kharif     ,Jowar,645,573
Uttar Pradesh,AGRA,2003,Kharif     ,Maize,103,178
Uttar Pradesh,AGRA,2003,Kharif     ,Moong(Green Gram),72,17
Uttar Pradesh,AGRA,2003,Kharif     ,Moth,2,1
Uttar Pradesh,AGRA,2003,Kharif     ,Rice,824,1436
Uttar Pradesh,AGRA,2003,Kharif     ,Sesamum,929,121
