state code,state,district code,district,market,market code
AN,Andaman and Nicobar,2,Nicobar,Car Nicobar,4362
AN,Andaman and Nicobar,3,North and Middle Andaman ,Diglipur,4364
AN,Andaman and Nicobar,3,North and Middle Andaman ,Mayabandar,4363
AN,Andaman and Nicobar,1,South Andaman,Port Blair,366
AP,Andhra Pradesh,12,Anantapur,Anantapur,873
AP,Andhra Pradesh,12,Anantapur,Dharmavaram,386
AP,Andhra Pradesh,12,Anantapur,Gooti,919
AP,Andhra Pradesh,12,Anantapur,Guntakal,922
AP,Andhra Pradesh,12,Anantapur,Hindupur,925
AP,Andhra Pradesh,12,Anantapur,Hindupur:RBZ,3580
AP,Andhra Pradesh,12,Anantapur,Kadiri,939
AP,Andhra Pradesh,12,Anantapur,Kalyandurg,942
AP,Andhra Pradesh,12,Anantapur,Madakasira,976
AP,Andhra Pradesh,12,Anantapur,P. Ramacharyulu Park:RBZ,1236
AP,Andhra Pradesh,12,Anantapur,Penukonda,385
AP,Andhra Pradesh,12,Anantapur,Rayadurg,1048
AP,Andhra Pradesh,12,Anantapur,Tadipatri,1066
AP,Andhra Pradesh,12,Anantapur,Tenakallu,3457
AP,Andhra Pradesh,12,Anantapur,Urvakonda,1082
AP,Andhra Pradesh,13,Chittor,Bangarupalem,879
AP,Andhra Pradesh,13,Chittor,Chittoor,893
AP,Andhra Pradesh,13,Chittor,Chittoor (MGH):RBZ,3576
AP,Andhra Pradesh,13,Chittor,Chittor(Rythu Bazar),4291
AP,Andhra Pradesh,13,Chittor,Kalikiri,3811
AP,Andhra Pradesh,13,Chittor,Kuppam,967
AP,Andhra Pradesh,13,Chittor,Madanapalli,975
AP,Andhra Pradesh,13,Chittor,Mulakalacheruvu,2170
AP,Andhra Pradesh,13,Chittor,Nagalapuram,2171
AP,Andhra Pradesh,13,Chittor,Nagari,995
AP,Andhra Pradesh,13,Chittor,Pakala,1016
AP,Andhra Pradesh,13,Chittor,Palamaner,382
AP,Andhra Pradesh,13,Chittor,Piler,1028
AP,Andhra Pradesh,13,Chittor,Punganur,1038
AP,Andhra Pradesh,13,Chittor,Puttur,1040
AP,Andhra Pradesh,13,Chittor,Rompicherla,4748
AP,Andhra Pradesh,13,Chittor,Satyavedu,1055
AP,Andhra Pradesh,13,Chittor,Somala,1061
AP,Andhra Pradesh,13,Chittor,Srikalahasti,1063
AP,Andhra Pradesh,13,Chittor,Thambalapalli,1073
AP,Andhra Pradesh,13,Chittor,Thottambedu,1074
AP,Andhra Pradesh,13,Chittor,Tirupati,1077
AP,Andhra Pradesh,13,Chittor,Tirupati (TUDA):RBZ,3577
AP,Andhra Pradesh,13,Chittor,V.Kota Mkt.Yard,1235
AP,Andhra Pradesh,13,Chittor,Vayalapadu,1092
AP,Andhra Pradesh,13,Chittor,Vepanjari,2636
AP,Andhra Pradesh,1,Cuddapah,Badvel,383
AP,Andhra Pradesh,1,Cuddapah,Cuddapah,1
AP,Andhra Pradesh,1,Cuddapah,Dwarakanagar:RBZ,3578
