State,State_Code,District,District_Code,Market,Market_Code,Commodity,Commodity_Code,Variety,Grade,Min_Price,Max_Price,Modal_Price,Date
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Other,FAQ,1140,1180,1155,28 May 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Other,FAQ,1140,1180,1160,26 May 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Other,FAQ,1150,1170,1160,25 May 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Other,FAQ,1150,1180,1165,24 May 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Other,FAQ,1150,1200,1175,23 May 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Other,FAQ,1150,1190,1170,22 May 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Other,FAQ,1150,1200,1180,21 May 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Other,FAQ,1160,1195,1185,19 May 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Other,FAQ,1150,1200,1175,18 May 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Other,FAQ,1160,1195,1185,17 May 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Other,FAQ,1130,1285,1180,16 May 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Other,FAQ,1120,1285,1185,15 May 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Other,FAQ,1150,1285,1195,14 May 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Other,FAQ,1140,1180,1160,12 May 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Other,FAQ,1160,1200,1180,11 May 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Dara,FAQ,1150,1190,1170,10 May 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Dara,FAQ,1130,1191,1175,09 May 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Other,FAQ,1150,1200,1175,09 May 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Dara,FAQ,1150,1190,1170,08 May 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Dara,FAQ,1140,1160,1150,07 May 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Dara,FAQ,1140,1170,1155,05 May 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Other,FAQ,1100,1200,1150,04 May 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Other,FAQ,1140,1160,1150,03 May 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Other,FAQ,1140,1160,1150,02 May 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Dara,FAQ,1140,1170,1155,01 May 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Other,FAQ,1140,1170,1155,01 May 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Other,FAQ,1150,1170,1160,30 Apr 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1150,1180,1165,28 Apr 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1135,1165,1150,26 Apr 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1150,1180,1165,25 Apr 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1150,1190,1170,24 Apr 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1140,1160,1155,23 Apr 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1200,1230,1215,21 Apr 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1200,1240,1200,20 Apr 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1200,1260,1235,19 Apr 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1220,1280,1240,18 Apr 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1200,1260,1245,17 Apr 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1240,1260,1255,16 Apr 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1240,1260,1245,13 Apr 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,700,800,720,12 Apr 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1200,1230,1215,10 Apr 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1200,1240,1220,09 Apr 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1200,1220,1210,07 Apr 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1160,1220,1180,06 Apr 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1170,1220,1190,05 Apr 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1160,1190,1185,04 Apr 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1160,1190,1175,03 Apr 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1160,1195,1180,02 Apr 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1140,1160,1150,31 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1140,1170,1155,30 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1135,1180,1150,29 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1140,1170,1155,27 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1140,1180,1160,26 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1140,1170,1155,24 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1130,1190,1160,23 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1130,1170,1150,22 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1140,1170,1155,20 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Deshi,FAQ,1130,1160,1145,17 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Dara,FAQ,1130,1170,1150,16 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Dara,FAQ,1130,1170,1145,15 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Dara,FAQ,1120,1160,1145,14 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Dara,FAQ,1120,1160,1140,13 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Dara,FAQ,1130,1170,1150,12 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Dara,FAQ,1120,1170,1145,10 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Dara,FAQ,1120,1170,1150,09 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Dara,FAQ,1120,1150,1135,07 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Dara,FAQ,1100,1160,1130,05 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Dara,FAQ,1110,1160,1135,03 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Dara,FAQ,1110,1150,1130,02 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Barley,1,Dara,FAQ,1130,1180,1155,01 Mar 2012
