State,State_Code,District,District_Code,Market,Market_Code,Commodity,Commodity_Code,Variety,Grade,Min_Price,Max_Price,Modal_Price,Date
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,600,630,615,27 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,600,640,620,26 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,600,640,620,24 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,600,650,625,23 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,580,620,600,22 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,580,620,620,20 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,460,500,485,17 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,440,515,495,16 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,450,510,490,15 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,460,520,490,14 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,465,525,495,13 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,460,490,485,12 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,460,499,480,10 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,450,499,485,09 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,410,480,450,07 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,400,460,430,05 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,400,450,425,03 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,400,430,415,02 Mar 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,380,425,405,25 Feb 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,340,370,365,24 Feb 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,320,370,350,23 Feb 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,320,360,345,22 Feb 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Other,FAQ,0,0,335,21 Feb 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Other,FAQ,0,0,330,20 Feb 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,300,360,330,19 Feb 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Other,FAQ,0,0,330,18 Feb 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,300,350,325,17 Feb 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Other,FAQ,0,0,325,17 Feb 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,315,360,335,16 Feb 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Other,FAQ,0,0,335,16 Feb 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Other,FAQ,0,0,320,15 Feb 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,310,350,330,14 Feb 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Other,FAQ,300,400,335,13 Feb 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Other,FAQ,300,390,330,10 Feb 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Other,FAQ,0,0,315,09 Feb 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Other,FAQ,0,0,325,08 Feb 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Other,FAQ,0,0,315,07 Feb 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Other,FAQ,0,0,320,06 Feb 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,300,350,325,04 Feb 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Other,FAQ,0,0,320,03 Feb 2012
Uttar Pradesh,UP,Agra,1,Agra,314,Potato,24,Desi,FAQ,300,350,325,02 Feb 2012
