State,State_Code,District,District_Code,Market,Market_Code,Commodity,Commodity_Code,Variety,Grade,Min_Price,Max_Price,Modal_Price,Date
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,0,0,1415,28 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,0,0,1390,23 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,0,0,1385,22 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,0,0,1390,21 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,0,0,1395,20 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,0,0,1385,18 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,0,0,1380,17 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,0,0,1390,16 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,0,0,1375,15 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,0,0,1380,14 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,0,0,1390,13 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,0,0,1385,10 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,0,0,1390,09 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1380,1415,1405,07 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1380,1420,1390,06 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1360,1400,1375,04 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1360,1400,1380,03 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1360,1400,1385,02 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1360,1390,1375,01 May 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1360,1410,1380,30 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1355,1385,1370,29 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1360,1390,1375,27 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1355,1390,1370,25 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1360,1400,1380,24 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1355,1375,1360,22 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1352,1380,1355,20 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1355,1380,1360,19 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1370,1400,1370,18 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1350,1400,1370,17 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1350,1390,1375,16 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1360,1390,1380,15 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1350,1400,1388,13 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1380,1400,1390,12 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1380,1430,1400,11 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1420,1460,1440,09 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1420,1480,1460,08 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1410,1480,1450,06 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1460,1500,1475,05 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1450,1500,1470,04 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1450,1480,1460,03 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1470,1500,1480,02 Apr 2013
Uttar Pradesh,UP,Agra,1,Agra,314,Wheat,1,Dara,FAQ,1490,1540,1500,01 Apr 2013
